# chi2_tot  chi2_prior  chi2_data
   785.415    0.149686    785.265
   799.565    0.878454    798.686
   765.201    0.524939    764.676
    743.05    0.165675    742.884
   828.575    0.609198    827.966
   784.439    0.321074    784.118
   788.055    0.357986    787.697
   816.172    0.173762    815.998
   813.538    0.660377    812.877
   783.064    0.692518    782.371
   749.488    0.163511    749.324
   799.831    0.683015    799.148
   820.542    0.666887    819.875
   814.909    0.768049    814.141
   720.641    0.529054    720.112
   751.981    0.453811    751.527
   800.511    0.402102    800.109
   739.886    0.915294     738.97
   765.582     0.73455    764.847
   788.043    0.591244    787.451
   766.106    0.754747    765.352
   776.774    0.111715    776.662
    785.58     0.61136    784.969
   847.403    0.397835    847.005
   794.071    0.544638    793.527
   716.513    0.251255    716.262
   748.661    0.492497    748.169
   758.766     1.59081    757.175
   753.896     0.36007    753.536
    777.91    0.208024    777.702
   795.485    0.481155    795.004
   832.287    0.517491     831.77
   823.203    0.211521    822.992
   778.879     1.21394    777.665
   806.609    0.190114    806.419
   805.975     1.23703    804.738
   831.638    0.286455    831.352
   743.679       0.573    743.106
   828.819    0.302193    828.517
   819.876    0.333572    819.542
   823.686    0.859591    822.826
   803.098    0.817391     802.28
   779.433    0.288309    779.144
    777.65     0.34923      777.3
   798.768    0.181757    798.586
    806.28    0.789167    805.491
   788.162     0.34013    787.822
   782.527    0.826228    781.701
    841.33    0.619289    840.711
   812.692    0.192899    812.499
   789.056    0.344014    788.712
   833.263      0.1738     833.09
   786.337    0.209322    786.128
    796.69    0.997819    795.692
   836.915      1.1062    835.809
   797.808     0.74385    797.064
   827.699    0.835211    826.864
   758.292    0.123272    758.169
   733.477    0.209379    733.268
    799.03    0.241108    798.789
   883.878    0.199106    883.679
   780.149    0.245961    779.903
   751.472    0.407968    751.064
   809.459    0.363741    809.095
   864.494    0.781234    863.713
   829.936    0.440569    829.496
   723.101    0.520542    722.581
   817.843    0.256056    817.587
   759.925    0.512294    759.412
   838.709    0.725082    837.984
   750.156    0.374373    749.782
   745.091    0.199684    744.891
   777.774    0.716229    777.057
   757.495    0.996358    756.499
   810.969    0.306498    810.662
