# chi2_tot  chi2_prior  chi2_data
   3742.32     1.06869    3741.25
    3737.8     1.54572    3736.26
   3461.62    0.142923    3461.48
   3491.94    0.425628    3491.52
    3491.8    0.885726    3490.91
   3492.68    0.273847    3492.41
   3482.95    0.991673    3481.95
   3579.27    0.909753    3578.36
   3491.04    0.512149    3490.53
   3501.86    0.758471     3501.1
   3561.43    0.848584    3560.58
   3538.19    0.612437    3537.57
   3702.13    0.340703    3701.78
   3492.01     1.11493    3490.89
   3405.61    0.858537    3404.75
   3445.12    0.521315     3444.6
   3478.09     1.21896    3476.87
   3596.15    0.880476    3595.27
   3510.79     1.40284    3509.39
   3499.13    0.823391     3498.3
   3573.95    0.953568       3573
    3555.6    0.608608    3554.99
   3462.89     1.14715    3461.74
   3436.56    0.672297    3435.88
    3453.5    0.241715    3453.26
   3533.87    0.307395    3533.56
   3573.94    0.746413    3573.19
   3486.59     1.19896     3485.4
   3466.42    0.387815    3466.03
   3547.84    0.445486    3547.39
   3621.84    0.703715    3621.14
   3570.27    0.894168    3569.37
   3549.75    0.398225    3549.35
   3419.96     1.02229    3418.93
   3529.93    0.581322    3529.35
   3512.23    0.712601    3511.52
   3612.81     1.26603    3611.55
    3450.6    0.255116    3450.35
   3532.09    0.510396    3531.58
   3603.42    0.360082    3603.06
   3486.76    0.489464    3486.27
   3569.45     1.15098     3568.3
   3679.58    0.398485    3679.18
   3691.06    0.190297    3690.87
   3613.22     0.70309    3612.51
   3621.99    0.618842    3621.37
   3524.77    0.717258    3524.05
   3519.36    0.420242    3518.94
    3599.5    0.547297    3598.95
   3580.06    0.148748    3579.91
   3538.16     1.56908    3536.59
   3513.89     0.71839    3513.17
   3555.44    0.433462    3555.01
   3485.67    0.570699     3485.1
   3554.09     2.08728    3552.01
   3469.14     1.63925     3467.5
    3609.2     1.59832    3607.61
   3582.39    0.541699    3581.85
   3453.05    0.459166     3452.6
   3495.97     0.84147    3495.13
    3805.8    0.475818    3805.32
   3541.72    0.298962    3541.42
   3467.22    0.870978    3466.35
   3464.51     1.03935    3463.47
   3489.61    0.738324    3488.87
   3534.21    0.716344    3533.49
   3339.03    0.781597    3338.25
   3539.85    0.441395     3539.4
   3387.58    0.428923    3387.15
    3690.5      1.3025     3689.2
   3555.81     1.32987    3554.48
   3488.79    0.569816    3488.22
   3453.82    0.178789    3453.64
   3536.85     1.14393     3535.7
    3505.9    0.253573    3505.65
   3579.39    0.499988    3578.89
   3336.66     1.13931    3335.52
   3635.79     0.75984    3635.03
   3685.63    0.569952    3685.06
   3658.53    0.519378    3658.01
   3678.97    0.696961    3678.27
   3490.52    0.752115    3489.76
   3525.31     1.82111    3523.49
   3544.81     1.79793    3543.01
   3634.34    0.706452    3633.63
   3612.44    0.469242    3611.97
   3476.47     0.38162    3476.09
   3672.86     1.67778    3671.18
   3634.27     1.05231    3633.22
   3613.83     0.99115    3612.84
      3481    0.427272    3480.57
   3604.45    0.407687    3604.04
   3610.36    0.808725    3609.55
   3574.36    0.683523    3573.68
    3485.8     1.45443    3484.35
   3474.95    0.655137    3474.29
   3353.04     1.09878    3351.94
   3638.91    0.382883    3638.53
   3660.32    0.810944     3659.5
   3403.22    0.278073    3402.94
   3633.65    0.454659    3633.19
   3458.79    0.220462    3458.57
   3427.52     1.74977    3425.77
   3524.63    0.386384    3524.24
   3512.67    0.427132    3512.24
    3591.9    0.131956    3591.77
   3565.49     1.44912    3564.04
   3566.51    0.769112    3565.74
   3534.95     1.26787    3533.68
   3548.51    0.745082    3547.76
   3642.01    0.685942    3641.33
   3496.01    0.785653    3495.22
   3483.42    0.337485    3483.08
   3619.24    0.428314    3618.81
   3511.11    0.892419    3510.21
   3462.78    0.806594    3461.97
   3593.65    0.260263    3593.39
   3510.51      1.5283    3508.98
   3409.26     0.91818    3408.34
   3506.08     1.14971    3504.93
   3439.28    0.653422    3438.63
   3545.44    0.663895    3544.77
   3642.21     1.04106    3641.17
   3423.85     0.98417    3422.86
   3501.99     1.14023    3500.85
   3590.81     0.96384    3589.85
   3525.88    0.676495    3525.21
   3567.65    0.824738    3566.83
   3625.68    0.698041    3624.98
    3576.3     2.50576     3573.8
   3573.92    0.321432     3573.6
   3376.27    0.895838    3375.37
   3507.31    0.376028    3506.93
    3549.4     2.23408    3547.16
   3539.85    0.683756    3539.17
   3552.62    0.552349    3552.06
    3428.3    0.347009    3427.95
   3488.11      0.3671    3487.75
   3603.52    0.885098    3602.63
   3620.44    0.180362    3620.26
   3536.66    0.722964    3535.94
   3526.28    0.590215    3525.69
   3713.21     1.13728    3712.08
   3551.06     1.09432    3549.97
   3481.69     1.02145    3480.67
      3487    0.364328    3486.63
   3470.76    0.784619    3469.98
   3565.23    0.380783    3564.85
   3440.79     1.30081    3439.49
   3477.11    0.358406    3476.76
    3772.8    0.305456    3772.49
   3745.07    0.904474    3744.17
   3610.58    0.688024    3609.89
   3531.62     1.10884    3530.51
   3412.74    0.235053    3412.51
    3539.7    0.784188    3538.91
   3603.92     1.24984    3602.67
    3654.9    0.329863    3654.57
   3524.21    0.966579    3523.25
   3544.97    0.780172    3544.19
   3558.01    0.187046    3557.82
   3554.85    0.794455    3554.05
   3453.55    0.619891    3452.93
   3584.93    0.249095    3584.68
   3516.25    0.918416    3515.33
   3526.57     1.31449    3525.26
   3691.64    0.821803    3690.82
      3548    0.437955    3547.56
   3620.94    0.542228     3620.4
   3546.82    0.575349    3546.24
   3634.04    0.487307    3633.55
   3576.12    0.599859    3575.52
   3596.08     1.86818    3594.21
   3436.75    0.782777    3435.96
   3652.62     1.94193    3650.67
    3588.6      2.4455    3586.16
   3614.38    0.899167    3613.48
   3564.03    0.199249    3563.83
